,date,entity,classification,softmax,article_count
0,2023-01-01,A,NEUTRAL,"{'positive': 0.007672338821582433, 'neutral': 0.869452889053256, 'negative': 0.12287477428361308}",7
1,2023-01-01,ARE,NEGATIVE,"{'positive': 0.208402348991173, 'neutral': 0.2850342193044101, 'negative': 0.5065634304207439}",5
2,2023-01-01,COST,NEUTRAL,"{'positive': 0.02628511469811201, 'neutral': 0.5796299576759338, 'negative': 0.3940848857164383}",1
3,2023-01-01,HAS,NEUTRAL,"{'positive': 0.11529968258885977, 'neutral': 0.655376985669136, 'negative': 0.22932334618235473}",4
4,2023-01-01,IT,NEUTRAL,"{'positive': 0.047098718848825556, 'neutral': 0.7335003275524783, 'negative': 0.2194009432262233}",4
5,2023-01-01,ON,NEUTRAL,"{'positive': 0.014588008030841593, 'neutral': 0.5659892661060439, 'negative': 0.41942270640599116}",4
6,2023-01-01,RE,NEUTRAL,"{'positive': 0.0016049030236899853, 'neutral': 0.9019878506660461, 'negative': 0.09640719776507467}",1
7,2023-01-01,SEE,NEUTRAL,"{'positive': 0.012303002178668976, 'neutral': 0.985083132982254, 'negative': 0.002613913966342807}",1
8,2023-01-01,SO,NEUTRAL,"{'positive': 0.10550668090581894, 'neutral': 0.6494504809379578, 'negative': 0.24504287540912628}",1
9,2023-01-01,TGT,NEUTRAL,"{'positive': 0.02231547174354394, 'neutral': 0.5824654599030813, 'negative': 0.3952191108837724}",1
10,2023-01-01,TSLA,NEUTRAL,"{'positive': 0.03652805584715679, 'neutral': 0.49642117135226727, 'negative': 0.4670508032431826}",1
11,2023-01-02,A,NEUTRAL,"{'positive': 0.10595830754116843, 'neutral': 0.6639062236689511, 'negative': 0.23013545863915164}",6
12,2023-01-02,ARE,NEUTRAL,"{'positive': 0.3495413781040244, 'neutral': 0.43477274146344924, 'negative': 0.21568588459760776}",3
13,2023-01-02,COST,NEGATIVE,"{'positive': 0.019084830535575747, 'neutral': 0.41939277946949005, 'negative': 0.5615223869681358}",2
14,2023-01-02,HAS,NEUTRAL,"{'positive': 0.08482104041225587, 'neutral': 0.6748443464438121, 'negative': 0.24033462762017735}",5
15,2023-01-02,IT,NEUTRAL,"{'positive': 0.005748007463989779, 'neutral': 0.9096268892288208, 'negative': 0.08462508699158207}",4
16,2023-01-02,ON,NEUTRAL,"{'positive': 0.011879920248611597, 'neutral': 0.7977028617014488, 'negative': 0.19041722528054378}",4
17,2023-01-02,TGT,NEGATIVE,"{'positive': 0.01106767263263464, 'neutral': 0.39721307158470154, 'negative': 0.5917192697525024}",1
18,2023-01-03,A,NEUTRAL,"{'positive': 0.1188933069571793, 'neutral': 0.7695481549032351, 'negative': 0.11155854282622964}",10
19,2023-01-03,ALL,NEUTRAL,"{'positive': 0.1022638445138, 'neutral': 0.6110673695802689, 'negative': 0.2866687629139051}",1
20,2023-01-03,APP,NEUTRAL,"{'positive': 0.001465904526412487, 'neutral': 0.9713587760925293, 'negative': 0.027175353839993477}",1
21,2023-01-03,ARE,NEUTRAL,"{'positive': 0.07194074830194763, 'neutral': 0.8598160050860068, 'negative': 0.06824323304688881}",7
22,2023-01-03,COST,NEGATIVE,"{'positive': 0.02090047501648466, 'neutral': 0.09525847310821216, 'negative': 0.8838410476843516}",3
23,2023-01-03,GOOG,NEGATIVE,"{'positive': 0.0063486972358077765, 'neutral': 0.45351874828338623, 'negative': 0.5401325523853302}",1
24,2023-01-03,GOOGL,NEGATIVE,"{'positive': 0.0063486972358077765, 'neutral': 0.45351874828338623, 'negative': 0.5401325523853302}",1
25,2023-01-03,HAS,NEUTRAL,"{'positive': 0.15386316670640857, 'neutral': 0.6644786120314772, 'negative': 0.18165821144660488}",8
26,2023-01-03,IT,NEUTRAL,"{'positive': 0.1428202038896835, 'neutral': 0.6960995449968188, 'negative': 0.1610802524268989}",9
27,2023-01-03,META,NEUTRAL,"{'positive': 0.004874337650835514, 'neutral': 0.9761709213256836, 'negative': 0.01895476187346503}",1
28,2023-01-03,MSFT,NEGATIVE,"{'positive': 0.0107939631678164, 'neutral': 0.46607706844806673, 'negative': 0.523128956562141}",1
29,2023-01-03,NOW,NEUTRAL,"{'positive': 0.000550534256035462, 'neutral': 0.9992084503173828, 'negative': 0.00024109047808451578}",1
30,2023-01-03,ON,NEUTRAL,"{'positive': 0.03052879426619559, 'neutral': 0.8207701480662019, 'negative': 0.1487010488754597}",9
31,2023-01-03,PM,NEUTRAL,"{'positive': 0.0009700029622763395, 'neutral': 0.9981768727302551, 'negative': 0.0008531451312592253}",1
32,2023-01-03,RE,NEUTRAL,"{'positive': 0.001186839712318033, 'neutral': 0.9969849586486816, 'negative': 0.001828231557738036}",1
33,2023-01-03,SEE,NEUTRAL,"{'positive': 0.0019025018555112183, 'neutral': 0.9966699033975601, 'negative': 0.0014276031288318336}",1
34,2023-01-03,SO,NEUTRAL,"{'positive': 0.022109253281572212, 'neutral': 0.921437406539917, 'negative': 0.056453355491976255}",2
35,2023-01-03,TGT,NEGATIVE,"{'positive': 0.006027846829965711, 'neutral': 0.4377005100250244, 'negative': 0.5562716325124105}",3
36,2023-01-03,TSLA,NEUTRAL,"{'positive': 0.06931709498167038, 'neutral': 0.9297797977924347, 'negative': 0.0009031502995640039}",1
