,date,entity,classification,softmax,article_count
0,2024-01-01,BA,POSITIVE,"{'positive': 0.9907041192054749, 'neutral': 0.0053527262061834335, 'negative': 0.0039431205950677395}",1
1,2024-01-01,BAC,NEUTRAL,"{'positive': 0.002000020816922188, 'neutral': 0.997380793094635, 'negative': 0.0006192750297486782}",1
2,2024-01-01,BRK,NEUTRAL,"{'positive': 0.002448689192533493, 'neutral': 0.9972389936447144, 'negative': 0.00031230077729560435}",1
3,2024-01-01,DOW,NEUTRAL,"{'positive': 0.19727294147014618, 'neutral': 0.7976908683776855, 'negative': 0.005036152433604002}",1
4,2024-01-01,FAST,NEUTRAL,"{'positive': 0.006823651492595673, 'neutral': 0.9914676348368326, 'negative': 0.0017086975664521258}",3
5,2024-01-01,GS,NEUTRAL,"{'positive': 0.05844850838184357, 'neutral': 0.9378164013226827, 'negative': 0.0037351343780755997}",3
6,2024-01-01,K,NEUTRAL,"{'positive': 0.003805577172897756, 'neutral': 0.9922766288121542, 'negative': 0.003917849467446406}",1
7,2024-01-01,KEY,NEUTRAL,"{'positive': 0.1869007340671184, 'neutral': 0.8071119636297226, 'negative': 0.0059872790588997304}",2
8,2024-01-01,LLY,POSITIVE,"{'positive': 0.9963445067405701, 'neutral': 0.002188627957366407, 'negative': 0.0014668710646219552}",1
9,2024-01-01,LOW,NEUTRAL,"{'positive': 0.2419103897215488, 'neutral': 0.49410808210571605, 'negative': 0.26398154433506227}",4
10,2024-01-01,META,NEUTRAL,"{'positive': 0.002936143195256591, 'neutral': 0.7618980407714844, 'negative': 0.2351658195257187}",1
11,2024-01-01,MS,NEUTRAL,"{'positive': 0.002149807900423184, 'neutral': 0.9751487821340561, 'negative': 0.02270141657209024}",2
12,2024-01-01,MSFT,POSITIVE,"{'positive': 0.8648921251296997, 'neutral': 0.10236071050167084, 'negative': 0.032747164368629456}",1
13,2024-01-01,NDAQ,NEGATIVE,"{'positive': 0.38755164071917536, 'neutral': 0.06263478696346284, 'negative': 0.549813587591052}",5
14,2024-01-01,NVDA,POSITIVE,"{'positive': 0.9427203039328258, 'neutral': 0.040538881439715624, 'negative': 0.01674082105940518}",2
15,2024-01-01,SO,NEUTRAL,"{'positive': 0.27975123167169164, 'neutral': 0.41851435666756026, 'negative': 0.30173440972003085}",7
16,2024-01-01,TGT,NEUTRAL,"{'positive': 0.13025210654595867, 'neutral': 0.47061979120286795, 'negative': 0.39912812784896234}",5
17,2024-01-01,TSLA,POSITIVE,"{'positive': 0.746029257774353, 'neutral': 0.20054149627685547, 'negative': 0.05342927575111389}",1
18,2024-01-02,AAPL,NEGATIVE,"{'positive': 0.07174171434598975, 'neutral': 0.1708256074646973, 'negative': 0.7574326647203028}",3
19,2024-01-02,APP,NEUTRAL,"{'positive': 0.02758646197617054, 'neutral': 0.9708300530910492, 'negative': 0.0015835287631489336}",1
20,2024-01-02,BAC,NEUTRAL,"{'positive': 0.05729312961921096, 'neutral': 0.6892306903998057, 'negative': 0.25347617475199513}",3
21,2024-01-02,COIN,NEUTRAL,"{'positive': 0.0028575349133461714, 'neutral': 0.8621062636375427, 'negative': 0.1350361555814743}",1
22,2024-01-02,D,NEUTRAL,"{'positive': 0.40392156607574886, 'neutral': 0.5931829926040437, 'negative': 0.002895466815162864}",1
23,2024-01-02,DOW,NEUTRAL,"{'positive': 0.09953845187555999, 'neutral': 0.8972774147987366, 'negative': 0.0031841523014009}",2
24,2024-01-02,FAST,POSITIVE,"{'positive': 0.8187376856803894, 'neutral': 0.16576656699180603, 'negative': 0.01549569796770811}",1
25,2024-01-02,GOOG,NEUTRAL,"{'positive': 0.0015483950264751911, 'neutral': 0.9981808662414551, 'negative': 0.00027072876400779933}",1
26,2024-01-02,GOOGL,NEUTRAL,"{'positive': 0.17301353067159653, 'neutral': 0.8254312872886658, 'negative': 0.0015552272670902312}",1
27,2024-01-02,LOW,NEUTRAL,"{'positive': 0.3230801649624482, 'neutral': 0.5758444126695395, 'negative': 0.10107540444732876}",4
28,2024-01-02,MET,NEUTRAL,"{'positive': 0.017009908391628414, 'neutral': 0.9413787126541138, 'negative': 0.041611431166529655}",2
29,2024-01-02,NDAQ,NEUTRAL,"{'positive': 0.47445119079202414, 'neutral': 0.5142380874603987, 'negative': 0.011310744914226234}",2
30,2024-01-02,O,NEUTRAL,"{'positive': 0.003868460073135793, 'neutral': 0.9774635583162308, 'negative': 0.01866799866547808}",1
31,2024-01-02,SO,NEUTRAL,"{'positive': 0.1922109559799234, 'neutral': 0.8045598804950714, 'negative': 0.003229139947022001}",3
32,2024-01-02,TGT,POSITIVE,"{'positive': 0.7710172392350311, 'neutral': 0.05997861926961276, 'negative': 0.16900415175283948}",3
33,2024-01-02,TSLA,NEGATIVE,"{'positive': 0.0014321287744678557, 'neutral': 0.0020879963412880898, 'negative': 0.9964799284934998}",1
34,2024-01-03,AAPL,POSITIVE,"{'positive': 0.6646237233006913, 'neutral': 0.2213377649410783, 'negative': 0.11403852648153485}",3
35,2024-01-03,AMD,NEUTRAL,"{'positive': 0.0035441855434328318, 'neutral': 0.8176857829093933, 'negative': 0.17876999080181122}",1
36,2024-01-03,AMZN,NEUTRAL,"{'positive': 0.0401385740066568, 'neutral': 0.6889083087444305, 'negative': 0.2709531409588332}",3
37,2024-01-03,BAC,NEUTRAL,"{'positive': 0.00819050282492147, 'neutral': 0.9876186301310856, 'negative': 0.004190878205311795}",2
38,2024-01-03,COIN,NEUTRAL,"{'positive': 0.0028598529752343893, 'neutral': 0.8623712658882141, 'negative': 0.13476885855197906}",1
39,2024-01-03,D,NEUTRAL,"{'positive': 0.0012965708059103538, 'neutral': 0.6785685041298469, 'negative': 0.32013494133328396}",1
40,2024-01-03,DE,NEGATIVE,"{'positive': 0.10969001799821854, 'neutral': 0.36509227752685547, 'negative': 0.5252177119255066}",1
41,2024-01-03,DIS,POSITIVE,"{'positive': 0.590743789783655, 'neutral': 0.4065142298439661, 'negative': 0.0027419755821868493}",3
42,2024-01-03,DOW,NEUTRAL,"{'positive': 0.004327517002820969, 'neutral': 0.5484708547592163, 'negative': 0.4472016394138336}",1
43,2024-01-03,FAST,NEUTRAL,"{'positive': 0.4129830887541175, 'neutral': 0.5790416076779366, 'negative': 0.007975280008395202}",2
44,2024-01-03,FOX,NEUTRAL,"{'positive': 0.06304285302758217, 'neutral': 0.9332998991012573, 'negative': 0.0036573121324181557}",2
45,2024-01-03,GS,NEUTRAL,"{'positive': 0.030701848193227004, 'neutral': 0.9179630652070045, 'negative': 0.051335140373945855}",2
46,2024-01-03,JPM,POSITIVE,"{'positive': 0.6187725258350838, 'neutral': 0.3795598936267197, 'negative': 0.0016676139566698112}",2
47,2024-01-03,KEY,NEUTRAL,"{'positive': 0.03130795806646347, 'neutral': 0.9681315422058105, 'negative': 0.0005605694022960961}",1
