date,entity,classification,softmax_scores
2020-09-29 20:55:18+00:00,House of Commons,NEUTRAL,"{'positive': 0.0020307935774326324, 'negative': 0.0168050155043602, 'neutral': 0.9811641573905945}"
2020-09-29 20:55:18+00:00,United Kingdom Internal Market Bill,NEUTRAL,"{'positive': 0.04369967803359032, 'negative': 0.006290062330663204, 'neutral': 0.9500102996826172}"
2020-09-29 20:55:18+00:00,Union,NEGATIVE,"{'positive': 0.0020841406658291817, 'negative': 0.9719160199165344, 'neutral': 0.025999873876571655}"
2020-09-29 20:55:18+00:00,Lords,NEUTRAL,"{'positive': 0.0011926116421818733, 'negative': 0.0033408089075237513, 'neutral': 0.9954665899276733}"
2020-09-29 20:55:18+00:00,Tory,NEUTRAL,"{'positive': 0.0028628779109567404, 'negative': 0.017609383910894394, 'neutral': 0.9795277714729309}"
2020-09-29 20:55:18+00:00,Conservative,NEUTRAL,"{'positive': 0.0024823108687996864, 'negative': 0.315524697303772, 'neutral': 0.6819930076599121}"
2020-09-29 20:55:18+00:00,EU,NEUTRAL,"{'positive': 0.0018211343558505177, 'negative': 0.006664177868515253, 'neutral': 0.9915146827697754}"
2020-09-29 20:55:18+00:00,SNP,NEUTRAL,"{'positive': 0.0012993781128898263, 'negative': 0.005955778993666172, 'neutral': 0.9927449226379395}"
2020-09-29 20:55:18+00:00,Commons,NEUTRAL,"{'positive': 0.0011820002691820264, 'negative': 0.004242928698658943, 'neutral': 0.994575023651123}"
2020-09-29 20:55:18+00:00,Westminster,NEUTRAL,"{'positive': 0.001286530401557684, 'negative': 0.00796947255730629, 'neutral': 0.9907440543174744}"
2020-09-29 20:55:18+00:00,UK Internal Market Bill,NEUTRAL,"{'positive': 0.0023702422622591257, 'negative': 0.020035812631249428, 'neutral': 0.9775940179824829}"
2020-09-29 20:55:18+00:00,Labour,NEUTRAL,"{'positive': 0.0023702422622591257, 'negative': 0.020035812631249428, 'neutral': 0.9775940179824829}"
2020-09-29 20:55:18+00:00,Brexit,NEUTRAL,"{'positive': 0.0023136974778026342, 'negative': 0.009773636236786842, 'neutral': 0.9879127144813538}"
2020-09-29 20:55:18+00:00,Guardian,NEUTRAL,"{'positive': 0.0023702422622591257, 'negative': 0.020035812631249428, 'neutral': 0.9775940179824829}"
2020-09-29 20:55:18+00:00,Covid-19,NEUTRAL,"{'positive': 0.0023702422622591257, 'negative': 0.020035812631249428, 'neutral': 0.9775940179824829}"
2020-09-29 20:55:18+00:00,Institute for Fiscal Studies,NEUTRAL,"{'positive': 0.0023702422622591257, 'negative': 0.020035812631249428, 'neutral': 0.9775940179824829}"
2020-09-29 20:55:18+00:00,Greggs,NEUTRAL,"{'positive': 0.0023702422622591257, 'negative': 0.020035812631249428, 'neutral': 0.9775940179824829}"
2020-09-29 20:55:18+00:00,BBC,NEUTRAL,"{'positive': 0.0023702422622591257, 'negative': 0.020035812631249428, 'neutral': 0.9775940179824829}"
2020-09-29 20:55:18+00:00,Covid-19 Actuaries Response Group,NEUTRAL,"{'positive': 0.0023702422622591257, 'negative': 0.020035812631249428, 'neutral': 0.9775940179824829}"
2020-09-29 20:55:18+00:00,University of Aberdeen,NEUTRAL,"{'positive': 0.0023702422622591257, 'negative': 0.020035812631249428, 'neutral': 0.9775940179824829}"
2020-09-29 20:55:18+00:00,NHS Grampian,NEUTRAL,"{'positive': 0.0023702422622591257, 'negative': 0.020035812631249428, 'neutral': 0.9775940179824829}"
2020-09-29 20:55:18+00:00,Bobbin,NEUTRAL,"{'positive': 0.0023702422622591257, 'negative': 0.020035812631249428, 'neutral': 0.9775940179824829}"
2020-09-29 20:55:18+00:00,Institute of Directors,NEUTRAL,"{'positive': 0.0023702422622591257, 'negative': 0.020035812631249428, 'neutral': 0.9775940179824829}"
2020-09-29 20:55:18+00:00,British Chambers of Commerce,NEUTRAL,"{'positive': 0.0023702422622591257, 'negative': 0.020035812631249428, 'neutral': 0.9775940179824829}"
2020-09-29 20:55:18+00:00,National Education Union,NEUTRAL,"{'positive': 0.0023702422622591257, 'negative': 0.020035812631249428, 'neutral': 0.9775940179824829}"
2020-09-29 20:55:18+00:00,University and College Union,NEUTRAL,"{'positive': 0.0023702422622591257, 'negative': 0.020035812631249428, 'neutral': 0.9775940179824829}"
2020-09-29 20:55:18+00:00,Education Policy Institute,NEUTRAL,"{'positive': 0.0023702422622591257, 'negative': 0.020035812631249428, 'neutral': 0.9775940179824829}"
2020-09-29 20:55:18+00:00,Teacher Tapp,NEUTRAL,"{'positive': 0.0023702422622591257, 'negative': 0.020035812631249428, 'neutral': 0.9775940179824829}"
2020-09-29 20:55:18+00:00,Times Higher Education,NEUTRAL,"{'positive': 0.0023702422622591257, 'negative': 0.020035812631249428, 'neutral': 0.9775940179824829}"
2020-09-29 20:55:18+00:00,MRC,NEUTRAL,"{'positive': 0.0023702422622591257, 'negative': 0.020035812631249428, 'neutral': 0.9775940179824829}"
2020-09-29 20:55:18+00:00,Cambridge University,NEUTRAL,"{'positive': 0.0023702422622591257, 'negative': 0.020035812631249428, 'neutral': 0.9775940179824829}"
2020-09-29 20:55:18+00:00,New Statesman,NEUTRAL,"{'positive': 0.0023702422622591257, 'negative': 0.020035812631249428, 'neutral': 0.9775940179824829}"
2020-09-29 20:55:18+00:00,ONS,NEUTRAL,"{'positive': 0.0023702422622591257, 'negative': 0.020035812631249428, 'neutral': 0.9775940179824829}"
2020-09-29 20:55:18+00:00,Facebook,NEUTRAL,"{'positive': 0.0023702422622591257, 'negative': 0.020035812631249428, 'neutral': 0.9775940179824829}"
2020-09-29 20:55:18+00:00,NHS,NEUTRAL,"{'positive': 0.0023702422622591257, 'negative': 0.020035812631249428, 'neutral': 0.9775940179824829}"
2020-09-29 20:55:18+00:00,Sainsbury,NEUTRAL,"{'positive': 0.0023702422622591257, 'negative': 0.020035812631249428, 'neutral': 0.9775940179824829}"
2020-09-29 20:55:18+00:00,Birmingham Women’s and Children’s NHS,NEUTRAL,"{'positive': 0.0023702422622591257, 'negative': 0.020035812631249428, 'neutral': 0.9775940179824829}"
2020-09-29 20:55:18+00:00,Coupe,NEUTRAL,"{'positive': 0.0023702422622591257, 'negative': 0.020035812631249428, 'neutral': 0.9775940179824829}"
2020-09-29 20:55:18+00:00,Health Service Journal,NEUTRAL,"{'positive': 0.0023702422622591257, 'negative': 0.020035812631249428, 'neutral': 0.9775940179824829}"
2020-09-29 20:55:18+00:00,HSJ,NEUTRAL,"{'positive': 0.0023702422622591257, 'negative': 0.020035812631249428, 'neutral': 0.9775940179824829}"
