caldt,sprtrn
2017-01-03,0.008487
2017-01-04,0.005722
2017-01-05,-0.000771
2017-01-06,0.003517
2017-01-09,-0.003549
2017-01-10,0.000000
2017-01-11,0.002830
2017-01-12,-0.002145
2017-01-13,0.001850
2017-01-17,-0.002968
2017-01-18,0.001764
2017-01-19,-0.003609
2017-01-20,0.003366
2017-01-23,-0.002690
2017-01-24,0.006565
2017-01-25,0.008026
2017-01-26,-0.000735
2017-01-27,-0.000866
2017-01-30,-0.006010
2017-01-31,-0.000890
2017-02-01,0.000298
2017-02-02,0.000570
2017-02-03,0.007265
2017-02-06,-0.002115
2017-02-07,0.000227
2017-02-08,0.000693
2017-02-09,0.005752
2017-02-10,0.003566
2017-02-13,0.005246
2017-02-14,0.004007
2017-02-15,0.004992
2017-02-16,-0.000864
2017-02-17,0.001679
2017-02-21,0.006048
2017-02-22,-0.001082
2017-02-23,0.000419
2017-02-24,0.001493
2017-02-27,0.001018
2017-02-28,-0.002578
2017-03-01,0.013674
2017-03-02,-0.005860
2017-03-03,0.000504
2017-03-06,-0.003277
2017-03-07,-0.002913
2017-03-08,-0.002284
2017-03-09,0.000800
2017-03-10,0.003269
2017-03-13,0.000367
2017-03-14,-0.003379
2017-03-15,0.008375
2017-03-16,-0.001627
2017-03-17,-0.001314
2017-03-20,-0.002010
2017-03-21,-0.012408
2017-03-22,0.001890
2017-03-23,-0.001060
2017-03-24,-0.000844
2017-03-27,-0.001020
2017-03-28,0.007251
2017-03-29,0.001085
2017-03-30,0.002935
2017-03-31,-0.002255
2017-04-03,-0.001642
2017-04-04,0.000560
2017-04-05,-0.003055
2017-04-06,0.001929
2017-04-07,-0.000827
2017-04-10,0.000688
2017-04-11,-0.001434
2017-04-12,-0.003760
2017-04-13,-0.006815
2017-04-17,0.008613
2017-04-18,-0.002903
2017-04-19,-0.001716
2017-04-20,0.007557
2017-04-21,-0.003035
2017-04-24,0.010840
2017-04-25,0.006091
2017-04-26,-0.000486
2017-04-27,0.000553
2017-04-28,-0.001913
2017-05-01,0.001732
2017-05-02,0.001189
2017-05-03,-0.001271
2017-05-04,0.000582
2017-05-05,0.004089
2017-05-08,0.000038
2017-05-09,-0.001025
2017-05-10,0.001131
2017-05-11,-0.002163
2017-05-12,-0.001478
2017-05-15,0.004776
2017-05-16,-0.000687
2017-05-17,-0.018178
2017-05-18,0.003687
2017-05-19,0.006767
2017-05-22,0.005160
2017-05-23,0.001838
2017-05-24,0.002489
2017-05-25,0.004442
2017-05-26,0.000311
2017-05-30,-0.001205
2017-05-31,-0.000460
2017-06-01,0.007571
2017-06-02,0.003708
2017-06-05,-0.001218
2017-06-06,-0.002779
2017-06-07,0.001568
2017-06-08,0.000267
2017-06-09,-0.000830
2017-06-12,-0.000979
2017-06-13,0.004511
2017-06-14,-0.000996
2017-06-15,-0.002240
2017-06-16,0.000284
2017-06-19,0.008347
2017-06-20,-0.006697
2017-06-21,-0.000583
2017-06-22,-0.000456
2017-06-23,0.001561
2017-06-26,0.000316
2017-06-27,-0.008073
2017-06-28,0.008808
2017-06-29,-0.008600
2017-06-30,0.001533
2017-07-03,0.002311
2017-07-05,0.001453
2017-07-06,-0.009369
2017-07-07,0.006403
2017-07-10,0.000928
2017-07-11,-0.000783
2017-07-12,0.007306
2017-07-13,0.001875
2017-07-14,0.004674
2017-07-17,-0.000053
2017-07-18,0.000598
2017-07-19,0.005373
