PERMNO,Company Name,Ticker,SP500 Start,SP500 End
10104,ORACLE CORP,ORCL,"Aug. 3, 1989","Dec. 31, 2024"
10107,MICROSOFT CORP,MSFT,"June 7, 1994","Dec. 31, 2024"
10138,T ROWE PRICE GROUP INC,TROW,"Oct. 13, 1999","Dec. 31, 2024"
10145,HONEYWELL INTERNATIONAL INC,HON,"Dec. 31, 1925","Dec. 31, 2024"
10516,ARCHER DANIELS MIDLAND CO,ADM,"July 30, 1981","Dec. 31, 2024"
10696,FISERV INC,FISV,"April 2, 2001","Dec. 31, 2024"
11308,COCA COLA CO,KO,"March 1, 1957","Dec. 31, 2024"
11403,CADENCE DESIGN SYSTEMS INC,CDNS,"Sept. 18, 2017","Dec. 31, 2024"
11404,CONSOLIDATED EDISON INC,ED,"Dec. 31, 1925","Dec. 31, 2024"
11600,DENTSPLY SIRONA INC,XRAY,"Nov. 14, 2008",2-Apr-24
11618,FASTENAL CO,FAST,"Sept. 15, 2008","Dec. 31, 2024"
11674,D T E ENERGY CO,DTE,"Dec. 31, 1925","Dec. 31, 2024"
11762,EATON CORP PLC,ETN,"March 1, 1957","Dec. 31, 2024"
11786,S V B FINANCIAL GROUP,SIVB,"March 19, 2018",14-Mar-23
11850,EXXON MOBIL CORP,XOM,"Dec. 31, 1925","Dec. 31, 2024"
11891,M G M RESORTS INTERNATIONAL,MGM,"July 26, 2017","Dec. 31, 2024"
11955,WASTE MANAGEMENT INC DEL,WM,"July 17, 1998","Dec. 31, 2024"
12052,GENERAL DYNAMICS CORP,GD,"March 1, 1957","Dec. 31, 2024"
12060,GENERAL ELECTRIC CO,GE,"March 1, 1957","Dec. 31, 2024"
12062,LABORATORY CORP AMERICA HLDGS,LH,"Nov. 1, 2004","Dec. 31, 2024"
12084,N X P SEMICONDUCTORS N V,NXPI,"March 22, 2021","Dec. 31, 2024"
12308,CHARTER COMMUNICATIONS INC NEW,CHTR,"Sept. 8, 2016","Dec. 31, 2024"
12345,LYONDELLBASELL INDUSTRIES N V,LYB,"Sept. 5, 2012","Dec. 31, 2024"
12369,GENERAL MOTORS CO,GM,"June 7, 2013","Dec. 31, 2024"
12431,TRANE TECHNOLOGIES PLC,TT,"Nov. 17, 2010","Dec. 31, 2024"
12448,FIRST REPUBLIC BANK S F NEW,FRC,"Jan. 2, 2019",3-May-23
12449,FLEETCOR TECHNOLOGIES INC,FLT,"June 20, 2018","Dec. 31, 2024"
12476,TARGA RESOURCES CORP,TRGP,"Oct. 12, 2022","Dec. 31, 2024"
12490,INTERNATIONAL BUSINESS MACHS COR,IBM,"March 1, 1957","Dec. 31, 2024"
12558,KINDER MORGAN INC,KMI,"May 25, 2012","Dec. 31, 2024"
12622,H C A HEALTHCARE INC,HCA,"Jan. 27, 2015","Dec. 31, 2024"
12623,HUNTINGTON INGALLS INDS INC,HII,"Jan. 3, 2018","Dec. 31, 2024"
12872,MARATHON PETROLEUM CORP,MPC,"July 1, 2011","Dec. 31, 2024"
13035,XYLEM INC,XYL,"Nov. 1, 2011","Dec. 31, 2024"
13103,APTIV PLC,APTV,"Dec. 24, 2012","Dec. 31, 2024"
13210,EPAM SYSTEMS INC,EPAM,"Dec. 14, 2021","Dec. 31, 2024"
13323,ENPHASE ENERGY INC,ENPH,"Jan. 7, 2021","Dec. 31, 2024"
13356,PHILLIPS 66,PSX,"May 1, 2012","Dec. 31, 2024"
13407,META PLATFORMS INC,META,"Dec. 23, 2013","Dec. 31, 2024"
13447,SERVICENOW INC,NOW,"Nov. 21, 2019","Dec. 31, 2024"
13586,PENTAIR PLC,PNR,"Oct. 1, 2012","Dec. 31, 2024"
13641,DIAMONDBACK ENERGY INC,FANG,"Dec. 3, 2018","Dec. 31, 2024"
13688,P G & E CORP,PCG,"Oct. 3, 2022","Dec. 31, 2024"
13721,ABBVIE INC,ABBV,"Jan. 2, 2013","Dec. 31, 2024"
13760,NORWEGIAN CRUISE LINE HLDGS LTD,NCLH,"Oct. 13, 2017","Dec. 31, 2024"
13788,ZOETIS INC,ZTS,"June 24, 2013","Dec. 31, 2024"
13856,PEPSICO INC,PEP,"March 1, 1957","Dec. 31, 2024"
